PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
5dd8da70fef7c2880a12500d,1.0,3.0,3.0,5.0,5.0,32.0,1.0,2.0,2.0,5.0
5d4916dd20a7c00016ab9d19,1.0,4.0,2.0,2.0,32.0,24.0,1.0,2.0,2.0,5.0
5bf4be094d725900012288cf,1.0,2.0,2.0,3.0,14.0,26.0,2.0,2.0,5.0,7.0
5dd6861c070fdc6179d8003e,1.0,6.0,3.0,4.0,10.0,52.0,2.0,2.0,5.0,5.0
5cb4c5bad44c410017960aa0,1.0,2.0,2.0,2.0,47.0,51.0,2.0,2.0,5.0,7.0
5d3695969749cc00165c222f,2.0,2.0,3.0,5.0,43.0,24.0,1.0,2.0,5.0,3.0
5d4783b266e618001ab9b3fe,1.0,2.0,2.0,2.0,24.0,30.0,2.0,2.0,4.0,4.0
5e574d79f1fc011039f8f2f6,1.0,2.0,1.0,7.0,43.0,30.0,2.0,2.0,5.0,3.0
5e2d57b2ce5e9a3542ef6890,1.0,4.0,2.0,2.0,22.0,39.0,1.0,2.0,5.0,2.0
5c7070519f9392000150023c,1.0,3.0,2.0,3.0,13.0,47.0,2.0,2.0,5.0,3.0
5c0da14d656168000159da7a,1.0,3.0,2.0,2.0,22.0,49.0,1.0,2.0,5.0,3.0
5b6c72f29dc5550001f8a514,1.0,5.0,3.0,1.0,5.0,35.0,1.0,2.0,5.0,5.0
5b399182b6b441000161210d,1.0,2.0,3.0,4.0,5.0,26.0,2.0,2.0,6.0,3.0
5dd9e1e0a4aa2696d9a15c0d,1.0,3.0,2.0,3.0,47.0,51.0,1.0,2.0,5.0,5.0
56d8eb60d13f6b000e542f8c,1.0,4.0,2.0,1.0,23.0,47.0,2.0,2.0,6.0,3.0
559ef308fdf99b2616ff2a4f,1.0,2.0,2.0,1.0,46.0,63.0,2.0,2.0,5.0,8.0
5e7fdad7e9efba6bed818760,1.0,4.0,2.0,1.0,47.0,27.0,1.0,2.0,5.0,5.0
5e792ec8adefaa4e8c5a72bc,1.0,6.0,2.0,7.0,5.0,33.0,2.0,2.0,4.0,7.0
5e5984452117bf000e730686,1.0,3.0,2.0,1.0,43.0,30.0,1.0,2.0,5.0,7.0
5c5367294838b300015b0bfd,1.0,4.0,1.0,6.0,10.0,49.0,1.0,2.0,5.0,5.0
54ebd25efdf99b02bf67d16a,1.0,3.0,2.0,2.0,48.0,34.0,2.0,2.0,5.0,4.0
5dcefcd0307b8d05031d7264,1.0,3.0,1.0,6.0,29.0,28.0,1.0,2.0,5.0,7.0
5c616465b672de0001fd3ac6,1.0,2.0,3.0,2.0,37.0,42.0,1.0,2.0,5.0,3.0
5c33ccf9377d960001044af0,1.0,4.0,1.0,6.0,9.0,46.0,1.0,2.0,5.0,5.0
5e7072e5fb136c63e94f3fa4,1.0,4.0,1.0,6.0,5.0,37.0,1.0,2.0,5.0,5.0
5d992ed1d7b8d800180692ec,1.0,3.0,3.0,4.0,5.0,33.0,1.0,2.0,2.0,5.0
57575e876200e3000656b41e,1.0,2.0,2.0,2.0,33.0,32.0,1.0,2.0,5.0,5.0
5d90c4fadf90b6001549561e,1.0,4.0,1.0,6.0,38.0,50.0,2.0,2.0,5.0,2.0
5b5c3b266b25590001778ea1,2.0,1.0,3.0,4.0,9.0,37.0,1.0,2.0,2.0,4.0
5ab5a51be1546900019b59ff,1.0,5.0,3.0,4.0,28.0,31.0,1.0,2.0,2.0,5.0
5669ac845bd4ff0011159b4a,1.0,6.0,2.0,1.0,11.0,39.0,2.0,2.0,5.0,5.0
5e75568b2d882b0c53e62547,1.0,5.0,2.0,2.0,47.0,31.0,1.0,2.0,5.0,5.0
5596a991fdf99b2d1e834690,1.0,3.0,2.0,1.0,22.0,28.0,1.0,2.0,5.0,2.0
5de6fd0d2bab5267cd9c2106,1.0,3.0,3.0,2.0,10.0,40.0,2.0,2.0,5.0,6.0
5d654282986878001c2a5db7,1.0,5.0,2.0,2.0,5.0,37.0,2.0,2.0,5.0,7.0
5e683c4d6ca0f9000d3f35fe,1.0,5.0,2.0,4.0,28.0,31.0,1.0,2.0,5.0,5.0
5e4acb83a987df0203f18ef1,1.0,3.0,1.0,6.0,28.0,34.0,1.0,2.0,5.0,3.0
588908498fd7f00001d735f8,1.0,4.0,3.0,4.0,9.0,32.0,1.0,2.0,5.0,4.0
5dccb82a76eab294aa4837ff,3.0,1.0,2.0,2.0,37.0,48.0,1.0,2.0,5.0,3.0
5d46c81b4bfe160001692377,2.0,1.0,2.0,2.0,36.0,47.0,2.0,2.0,5.0,2.0
5e84ed880343a50a8a5ee7bb,2.0,1.0,2.0,3.0,46.0,21.0,1.0,2.0,5.0,5.0
54af2a48fdf99b09c01b3801,2.0,1.0,2.0,2.0,10.0,24.0,2.0,2.0,2.0,3.0
5c7ed3c5cc6a9c000153d29b,2.0,1.0,2.0,2.0,5.0,19.0,2.0,2.0,5.0,3.0
5c52c825ea00280001fce29d,2.0,1.0,2.0,6.0,37.0,67.0,2.0,2.0,5.0,2.0
5c8e869154c82b00187d5810,2.0,3.0,1.0,3.0,30.0,50.0,1.0,2.0,5.0,2.0
5d43f181e2051e0001a24ba7,2.0,1.0,2.0,3.0,5.0,18.0,2.0,2.0,2.0,3.0
5db92470f3f143000b80f218,2.0,1.0,2.0,4.0,5.0,19.0,1.0,3.0,8.0,2.0
5e1657044f849ec39dad9c61,2.0,1.0,1.0,6.0,22.0,23.0,2.0,2.0,5.0,5.0
5d0179488247af0019c22f8b,3.0,2.0,2.0,2.0,6.0,56.0,2.0,2.0,5.0,4.0
5e35de293e64955878774717,1.0,1.0,2.0,2.0,37.0,50.0,2.0,2.0,5.0,7.0
5dd2d2394524e72d57dcf897,2.0,1.0,1.0,5.0,20.0,19.0,1.0,2.0,5.0,2.0
5e78d2729b0e7e017e7aa8eb,2.0,1.0,3.0,5.0,38.0,18.0,2.0,2.0,5.0,1.0
5b2a091e7297750001c7653e,2.0,1.0,1.0,5.0,5.0,19.0,2.0,2.0,2.0,3.0
5d19ab3ee47637001cf4fc53,2.0,1.0,2.0,2.0,5.0,19.0,2.0,2.0,2.0,3.0
5e46f51bc3298c1bf813a984,2.0,1.0,2.0,2.0,9.0,22.0,1.0,2.0,2.0,5.0
5e51dfe3618c57215938d7b7,1.0,1.0,2.0,2.0,22.0,24.0,1.0,2.0,2.0,5.0
5e670f5e698a0748f0b4ef04,2.0,1.0,2.0,2.0,43.0,25.0,2.0,2.0,2.0,5.0
5dcf345098981d0821864ccd,1.0,1.0,3.0,1.0,13.0,19.0,2.0,2.0,5.0,2.0
5bfb318b55645b0001d34eb0,1.0,2.0,2.0,2.0,43.0,23.0,2.0,2.0,2.0,2.0
5e6bc8dd966aa3000c8b2205,2.0,1.0,3.0,4.0,7.0,19.0,1.0,2.0,5.0,3.0
5e006b63867681c70959c599,2.0,1.0,3.0,2.0,5.0,25.0,2.0,2.0,7.0,5.0
5dc37cc0380a67285572a9b3,2.0,1.0,2.0,2.0,9.0,26.0,1.0,3.0,5.0,5.0
5dafab925f543b00191fb7ca,1.0,2.0,2.0,3.0,5.0,24.0,2.0,2.0,2.0,5.0
562c6951733ea000111631be,1.0,1.0,2.0,2.0,5.0,27.0,2.0,2.0,6.0,2.0
5e60df51db9d47021195938f,2.0,1.0,3.0,4.0,38.0,36.0,1.0,3.0,8.0,7.0
5e0f37e1a98a7a65fe046016,2.0,2.0,3.0,4.0,47.0,37.0,2.0,3.0,5.0,3.0
5e66eb28df313c46e9c43ab3,2.0,1.0,2.0,2.0,5.0,25.0,2.0,2.0,5.0,5.0
5a135875074b1900012527a9,1.0,1.0,1.0,6.0,35.0,43.0,2.0,2.0,5.0,5.0
5da253ba8de54100187fa925,3.0,1.0,2.0,5.0,9.0,64.0,1.0,1.0,6.0,6.0
5de93dcf3a116806511ab0fb,1.0,1.0,3.0,5.0,33.0,20.0,1.0,2.0,1.0,3.0
5bc6e0f93808a50001649d75,1.0,1.0,2.0,2.0,5.0,25.0,2.0,2.0,5.0,5.0
5e387b36caa8e1000da3f0f8,1.0,1.0,2.0,2.0,17.0,42.0,2.0,2.0,5.0,7.0
56e94d6e098153000a40d59a,1.0,2.0,2.0,3.0,9.0,65.0,2.0,2.0,5.0,10.0
5ae9378a78b0060001e699bb,1.0,1.0,3.0,6.0,33.0,20.0,2.0,2.0,4.0,4.0
5e6e6f04cca6210008a1eb1f,2.0,1.0,3.0,4.0,6.0,29.0,2.0,2.0,4.0,5.0
5e4af9e73485dd000c99724e,1.0,4.0,3.0,3.0,21.0,53.0,2.0,2.0,5.0,3.0
5e177d5394a2dc087ed10f4e,1.0,2.0,2.0,1.0,6.0,19.0,2.0,2.0,2.0,3.0
5c84014bd34170000141b8d6,1.0,4.0,2.0,3.0,21.0,34.0,1.0,2.0,2.0,9.0
5e79240ae964444deb09ade1,1.0,3.0,2.0,2.0,42.0,26.0,1.0,2.0,1.0,3.0
5d423b7706811e001ada5b08,1.0,3.0,2.0,3.0,5.0,34.0,2.0,2.0,2.0,5.0
5d5c9fc7369c520019873d61,1.0,1.0,3.0,3.0,21.0,28.0,2.0,3.0,5.0,5.0
5e34e9a4d26ee44c53c9afe9,1.0,4.0,2.0,1.0,29.0,36.0,2.0,2.0,5.0,5.0
5c687b0c1b9d0e000190aae2,1.0,5.0,2.0,1.0,5.0,45.0,1.0,2.0,2.0,7.0
5e34947247f552468d51fe84,1.0,3.0,3.0,5.0,21.0,29.0,1.0,2.0,5.0,5.0
5d19a6801ae42000191bd745,1.0,6.0,1.0,5.0,13.0,58.0,1.0,2.0,7.0,5.0
5c95970cd676900016e1a940,1.0,3.0,2.0,3.0,46.0,42.0,2.0,2.0,4.0,7.0
5e7ccb90239c34323a771320,1.0,3.0,2.0,1.0,44.0,28.0,2.0,2.0,5.0,5.0
5e80d4b3a33aaa00097566e1,1.0,4.0,3.0,2.0,47.0,59.0,2.0,2.0,5.0,8.0
5d4523425c4d1a000104f55a,1.0,3.0,2.0,2.0,5.0,32.0,1.0,2.0,2.0,5.0
5aa35f2d777df20001605db6,1.0,2.0,2.0,2.0,28.0,27.0,1.0,2.0,2.0,5.0
5be89ff4d153f500019aa86f,1.0,2.0,2.0,2.0,43.0,24.0,2.0,2.0,5.0,5.0
5e54a19637713549cfd39a84,1.0,4.0,3.0,4.0,46.0,23.0,1.0,2.0,8.0,5.0
5c6afe255be9260001985323,1.0,4.0,2.0,4.0,5.0,26.0,1.0,2.0,2.0,7.0
5dfd077e3690bd03bfa91d48,1.0,4.0,1.0,6.0,10.0,53.0,1.0,2.0,5.0,3.0
5e5848d0909ae50583191e1e,1.0,4.0,1.0,6.0,9.0,49.0,2.0,2.0,5.0,4.0
5e7432c4a9b19e3b27470ef0,1.0,4.0,3.0,4.0,18.0,23.0,1.0,2.0,8.0,5.0
5e7b6c6d7412d416f400e737,1.0,3.0,1.0,5.0,18.0,40.0,2.0,2.0,5.0,8.0
5e7027c5a2522d000bddb8f3,1.0,3.0,3.0,5.0,32.0,28.0,1.0,2.0,5.0,5.0
542473a4fdf99b691fb38455,1.0,3.0,2.0,2.0,37.0,32.0,1.0,2.0,2.0,5.0
5e485d1d4edf63000d0b1620,2.0,7.0,2.0,2.0,43.0,19.0,2.0,2.0,6.0,3.0
5c145ab0ea3b6c0001f764ae,2.0,7.0,2.0,4.0,11.0,20.0,2.0,2.0,3.0,1.0
5c662bfcc3aaf50001c67aab,2.0,4.0,2.0,3.0,5.0,19.0,1.0,2.0,5.0,2.0
5e73d6ce467dff346c41c218,2.0,1.0,1.0,4.0,43.0,20.0,1.0,2.0,2.0,2.0
5d041d3c0425590017a002eb,3.0,1.0,3.0,4.0,32.0,70.0,2.0,2.0,5.0,3.0
5e7e74b16c41bb0e5de7a493,1.0,1.0,2.0,4.0,5.0,18.0,1.0,1.0,6.0,3.0
5e15ca7bf6191fbb43eef1f1,1.0,4.0,2.0,2.0,43.0,38.0,1.0,2.0,5.0,7.0
5a0a4aa0df3fa800015c398e,1.0,6.0,2.0,5.0,33.0,24.0,1.0,2.0,5.0,5.0
