PROLIFIC_PID,sex,ethnicity,race,age
5d923c2e235f4b0017f269c2,female,Not Hispanic or Latino,White,35
5e3360a4499e7932901951cb,male,Not Hispanic or Latino,White,34
5d9bc269f371b8028c8f52b9,male,Hispanic or Latino,White,18
5d1e943542ea95001a078e22,female,Not Hispanic or Latino,White,32
5c6f459b398a230001bb0031,male,Not Hispanic or Latino,Black,31
5c6c666a4d4f48000122caf8,female,Not Hispanic or Latino,White,64
5e0e502b2fc4785903ee9029,female,Not Hispanic or Latino,White,23
5c9e65d52707e10001a00524,male,Not Hispanic or Latino,White,58
5ddf08afcb9dd6e746231429,male,Not Hispanic or Latino,White,23
5c1c137b0739430001693cf5,female,Not Hispanic or Latino,White,23
5d48b029c4b12b00194b5aa5,male,Not Hispanic or Latino,White,68
5d3f60334cca8f0017b5bec1,male,Not Hispanic or Latino,Asian,26
5e72a4b847b408000a2f3807,female,Not Hispanic or Latino,Black,24
5cc2242c89c84a0017335b71,female,Not Hispanic or Latino,White,66
5a79de1faa46dd00016b3a60,female,Not Hispanic or Latino,White,22
5e39a96d3b3e431ca5a9c6e0,male,Not Hispanic or Latino,White,51
5b5a822e1ad8270001c4f28d,male,Not Hispanic or Latino,White,38
578ba9442fc0d400012c71dc,male,Hispanic or Latino,White,23
5ddcd77f23f9f1c2c45d6c18,male,Not Hispanic or Latino,White,65
5dc8d8b90a0b38630af7a0ba,female,Hispanic or Latino,White,68
5ace650a436f550001004f87,female,Not Hispanic or Latino,Asian,27
5e5323c8c9f6063449ad9f00,female,Not Hispanic or Latino,White,24
5dd0733b82569a156ed4f64f,female,Not Hispanic or Latino,White,68
5b2014221ce2fb0001dcb567,female,Not Hispanic or Latino,White,22
5c4ea7c3889752000156ddc5,male,Not Hispanic or Latino,Multiracial,23
5c365b5e8821900001b3876c,female,Not Hispanic or Latino,White,59
5deac17b3c27631ebb21b8f4,male,Not Hispanic or Latino,Black,29
55d7e6f669dbc30012b6826e,female,Not Hispanic or Latino,White,63
5dd43fb9572604418c5fb05c,male,Not Hispanic or Latino,White,68
57544b36eb80c4000741a7b0,female,Not Hispanic or Latino,White,61
5d615f7632cfbd001b1b6dcb,male,Not Hispanic or Latino,White,70
57e7bb4e73e67300012b8e2a,female,Not Hispanic or Latino,White,52
5e121b2b82a955890a9b3484,female,Not Hispanic or Latino,White,53
5bd45c509afb5b00015c48f4,female,Hispanic or Latino,Other,66
580d5d1f357e890001dd14ce,male,Not Hispanic or Latino,White,36
5dbfe172a39098435b9c772e,male,Not Hispanic or Latino,White,26
5d3a38eb506e34000120c0ca,male,Not Hispanic or Latino,Asian,20
5a94579a89de8200013ec36e,female,Not Hispanic or Latino,Asian,21
5e5d8d190272740aa1029258,female,Not Hispanic or Latino,White,20
5e1a7114a90da52e206de7ea,male,Not Hispanic or Latino,White,31
5ac47e09f69e940001d97449,female,Not Hispanic or Latino,White,39
5c77ee419e039600147427b9,female,Not Hispanic or Latino,Multiracial,20
5cba91f716ab74001672d747,male,Not Hispanic or Latino,Asian,25
5e7b390c6747ba0008da081c,male,Hispanic or Latino,Multiracial,28
5c5c65f82b9837000195da29,male,Not Hispanic or Latino,White,68
5e42d790c1742f000c1e2a9b,male,Not Hispanic or Latino,White,28
5c7078b6ac711b00010846a9,female,Hispanic or Latino,Multiracial,20
5c101f812a1a620001f04007,female,Not Hispanic or Latino,White,65
5c888f3ba869d400019acb49,male,Not Hispanic or Latino,White,24
5e331de721bbd22ed15f2405,male,Not Hispanic or Latino,White,74
55b645bbfdf99b1c02906873,male,Not Hispanic or Latino,Multiracial,53
5c27b2157e42a600015bf8ef,male,Hispanic or Latino,Multiracial,19
59c0782e5364260001dc4740,female,Not Hispanic or Latino,Black,56
5ce753de5434fd001b47e9fc,male,Not Hispanic or Latino,Black,24
5bf322d817a7de0001cf6d50,female,Not Hispanic or Latino,White,68
5d184b040a274600013f7107,male,Not Hispanic or Latino,Black,27
5dd9ebd239bca1962e17e64c,female,Not Hispanic or Latino,White,47
5e6869e6fe7f431210ced3f1,male,Hispanic or Latino,Multiracial,18
5ce42b3454e33d001918923a,male,Not Hispanic or Latino,White,69
5de7389d3cf2796bf92fb918,male,Not Hispanic or Latino,White,32
5b846b48338a930001566887,male,Not Hispanic or Latino,White,68
5b33a01fa8327d0001003821,female,Not Hispanic or Latino,White,66
5dc1a1d0a4b6ac1091f0f4c2,male,Hispanic or Latino,Prefer not to disclose,21
5ae2641f5cd05500015ece71,female,Not Hispanic or Latino,White,62
5dfbc3a1946e978e69d8e586,female,Not Hispanic or Latino,White,63
5c2e2fa00b8ad80001aebf07,male,Not Hispanic or Latino,Black,19
5d329756062745001921494a,female,Hispanic or Latino,White,26
59042666cd3f250001dcf8f9,male,Not Hispanic or Latino,Multiracial,30
5e52d0122f5f952f2a7b6b28,male,Not Hispanic or Latino,White,35
5c0c458f07028b0001f6f685,female,Not Hispanic or Latino,White,64
5e55e83cc65ccb5ed547cb04,female,Not Hispanic or Latino,Black,21
5c1046b4c3871300012be287,female,Not Hispanic or Latino,White,46
5e5d57ccde7bcc0735c8bb93,male,Not Hispanic or Latino,White,65
5d6d95547481f10019db1f28,female,Not Hispanic or Latino,White,20
5d29120e4d046f0016a74a49,female,Not Hispanic or Latino,Asian,19
5dd33b9159b1b033ec2cf634,male,Not Hispanic or Latino,White,38
5e2721b01160079464059b5c,female,Not Hispanic or Latino,White,27
5e1f9c6e105841000c7740d9,female,Not Hispanic or Latino,White,34
5e711d9e908b46031e32138c,male,Not Hispanic or Latino,White,59
5c79a1f254c5d600015fc7af,male,Not Hispanic or Latino,White,25
5e1bade6f9046c3d292ce298,female,Not Hispanic or Latino,Asian,19
55b94954fdf99b45b103420b,female,Not Hispanic or Latino,Black,24
5e703830ffc1a960e852b107,female,Hispanic or Latino,Other,27
5dedebd38b2932497a59e663,male,Not Hispanic or Latino,White,19
5c381b1ce4dbd30001fbc9c9,male,Not Hispanic or Latino,White,41
5dcca2db88381e92c96b9ac5,female,Not Hispanic or Latino,White,25
5de579912238364fcdf1a97d,female,Hispanic or Latino,White,23
5b3512c6415e920001b55046,male,Not Hispanic or Latino,White,28
5d404bc74db54a0001fecb92,female,Prefer not to disclose,Multiracial,24
5e27fb1a28b7b6a0715e6991,male,Not Hispanic or Latino,White,20
59d3b5239e5232000164bbef,female,Not Hispanic or Latino,White,59
5e600f78c0bc8634cbe671ed,female,Not Hispanic or Latino,Black,20
5e528b3520410b292bb84dca,male,Not Hispanic or Latino,Asian,34
5c32e9588573070001641744,male,Prefer not to disclose,Asian,26
5cd321750316ed0017c81bcd,female,Not Hispanic or Latino,Multiracial,20
5e25dfb0c4edc4831d8c0e11,male,Not Hispanic or Latino,White,48
5b9b4cc406114100010660f0,male,Not Hispanic or Latino,White,27
5e86543a53859c0cad6cfcaa,male,Not Hispanic or Latino,Black,25
5d3923f8bdcf76001924f57e,male,Not Hispanic or Latino,White,59
5be8dd56d153f500019ab3cf,female,Not Hispanic or Latino,White,55
5e84b8443f064006f1b5215c,male,Not Hispanic or Latino,Black,33
5e6aeb4b4dc8de0ad55950fd,male,Not Hispanic or Latino,White,24
5caf69d015e92c00131700a8,female,Not Hispanic or Latino,Asian,24
5e668df31d7e1a4039d67b49,male,Not Hispanic or Latino,White,21
5e482100418f612c4d9775b3,male,Not Hispanic or Latino,White,28
5d34de398f657e00150dd0d5,male,Not Hispanic or Latino,White,58
5c3272172f0f3500010284c0,female,Prefer not to disclose,White,32
5e26f9275b32379235cbbe94,male,Not Hispanic or Latino,Asian,23
5deb3c192235ad24f4a21826,female,Not Hispanic or Latino,White,26
5e3d792b9aa116000bcb8b84,female,Not Hispanic or Latino,Black,25
594425f07ccfd00001d3f462,male,Not Hispanic or Latino,Black,23
5c2fcd716ea6880001dc8e3d,female,Not Hispanic or Latino,White,56
5de7f5d27c17f804d007da90,female,Not Hispanic or Latino,White,35
581dd1d1cccc4800017ab5c2,female,Not Hispanic or Latino,White,38
5b06d013732c5d000154dbf8,female,Hispanic or Latino,Multiracial,48
5e7a2ccd69a7770604dfb352,female,Not Hispanic or Latino,White,47
59d0fe53a5bbdd0001bf47b6,female,Not Hispanic or Latino,Asian,25
5e0979f7082675243a5e3c91,female,Not Hispanic or Latino,White,33
5b7fa64787d85f0001baf4fa,female,Not Hispanic or Latino,Multiracial,20
5e72e03464051f231da4487b,female,Not Hispanic or Latino,White,30
594859c6bee3110001b1b092,female,Not Hispanic or Latino,Black,29
5559a3a1fdf99b514bba308e,female,Not Hispanic or Latino,White,30
5bf720e60b616400019c6c6c,female,Not Hispanic or Latino,White,20
5dcf4136cf8e7e086ea019e4,female,Not Hispanic or Latino,White,52
5d8c4b8a6c75740018fd049c,male,Hispanic or Latino,White,23
5c7cf8b58ca9000001b52f6e,male,Not Hispanic or Latino,White,28
5e83d37956541b11d8a8734a,male,Not Hispanic or Latino,White,24
5d76bc8e529c4b00197aa4f2,female,Not Hispanic or Latino,Asian,21
5d3a2d1da46f450019cdf5d3,male,Not Hispanic or Latino,White,58
5cf3f7364bcc6400019d71fa,female,Not Hispanic or Latino,White,63
5e65d9479ab3e634e805006a,male,Not Hispanic or Latino,Multiracial,25
5d227f901e99f80018c60e1f,female,Not Hispanic or Latino,White,55
5e1f7b2a4c9b832b34e7c9d3,male,Not Hispanic or Latino,White,28
5d558ebe886e3f0020e90fce,female,Not Hispanic or Latino,Black,30
5d974512cb19b600164e21a9,female,Not Hispanic or Latino,White,49
598ba20f716a2c000187ce01,male,Not Hispanic or Latino,Black,48
5acb70baa3ba7a0001b4e67b,female,Not Hispanic or Latino,White,60
5d44ea38d7d4b80015384976,female,Not Hispanic or Latino,White,62
5e7d09e7f0a5a00c4a1ccf96,female,Not Hispanic or Latino,White,20
5cc8039e3ef93000171c96b8,male,Not Hispanic or Latino,White,33
5adbbdf1cd58990001e46912,male,Not Hispanic or Latino,White,49
5e6af189bdaa1a0b355f63ae,female,Not Hispanic or Latino,White,41
56ab103610b779000bcb4cb5,female,Not Hispanic or Latino,White,48
5dd1d1a051db1c23a1751a85,male,Not Hispanic or Latino,White,34
5e6e9ed7fb5afe4669c14542,male,Not Hispanic or Latino,White,24
5bdc8d12b2fff7000189b6f8,female,Not Hispanic or Latino,White,68
5e706891c396cc64388ef760,female,Hispanic or Latino,White,21
5c2e3ea54f0e840001c08da9,female,Not Hispanic or Latino,White,26
5dd359599595a13643f93d33,male,Not Hispanic or Latino,Black,45
5bd3bb15654665000102b469,female,Not Hispanic or Latino,White,55
5dd4a7c9c0823f494b158668,female,Not Hispanic or Latino,Multiracial,43
5de1ac810f8b6721970ab78a,female,Not Hispanic or Latino,White,44
5e8403df91be011665b49f7f,female,Not Hispanic or Latino,White,24
5a6f1ccade1f390001dbd8b7,male,Not Hispanic or Latino,White,36
5b566435d8348500012d2d65,female,Not Hispanic or Latino,White,67
5d49e0a96f4b310001c124bf,female,Not Hispanic or Latino,White,40
5e3f3ebc0fa771000bd26166,male,Not Hispanic or Latino,White,24
5dad59d38a78c7001a59e9e1,male,Not Hispanic or Latino,Multiracial,22
5e35005b59b1364c22aefd7a,male,Not Hispanic or Latino,White,39
5e850b0e390e520ec806b084,male,Not Hispanic or Latino,Black,34
5e1797da928b15062260e30e,male,Not Hispanic or Latino,White,68
5df9846d76f45070feedf075,male,Not Hispanic or Latino,White,57
5adc0bc8dee8590001b01a8e,male,Not Hispanic or Latino,White,31
5e7146ee69a3f1061774803b,female,Not Hispanic or Latino,Asian,49
58642f4de16d530001b34622,male,Not Hispanic or Latino,White,60
5d7182191742e10001d5fc94,female,Not Hispanic or Latino,White,54
5c479e4cdeaef300017e5c9c,male,Hispanic or Latino,American Indian/Alaska Native,29
5d6f332829c25100188a4a27,male,Not Hispanic or Latino,Black,25
5c5732a80a537a00019ea4eb,male,Not Hispanic or Latino,White,31
5d14c08b63f5660018e9c499,male,Not Hispanic or Latino,White,46
5be3b08c020df800016ecb39,female,Not Hispanic or Latino,White,51
595bdc5b57e9520001f78eef,male,Not Hispanic or Latino,Asian,40
5db0a97f127d4000117cdfa0,female,Not Hispanic or Latino,White,43
5d118de2c80b57001721f93e,male,Not Hispanic or Latino,White,26
5e7bf5421c5c21000cc7b6e3,female,Not Hispanic or Latino,Black,39
5dadfba804a8070016d5dc68,male,Not Hispanic or Latino,White,34
5e0e632e194d295c13ee5b81,female,Not Hispanic or Latino,Asian,32
54ea5b40fdf99b768609982f,male,Not Hispanic or Latino,Asian,31
5e52148e9a302e245eb71caf,female,Not Hispanic or Latino,Black,22
5c263f32867f660001ae1e29,male,Not Hispanic or Latino,White,60
5d99f1a45a1126001c5c0a84,male,Not Hispanic or Latino,White,37
5c330cefca23620001b262b1,female,Not Hispanic or Latino,Black,55
58cd449293499d00013488fe,male,Not Hispanic or Latino,White,57
5b2557ac8b4002000106cb20,male,Not Hispanic or Latino,White,48
5e4c56efdd24100b2ca392ba,female,Not Hispanic or Latino,White,34
5b97f70161c19e00018db4a8,male,Hispanic or Latino,Multiracial,35
5beb85a3af0b33000111304a,male,Not Hispanic or Latino,White,37
5588b04ffdf99b7a91e75ddb,male,Not Hispanic or Latino,White,52
5cabcfb2bf53e10001fa48ad,male,Not Hispanic or Latino,Asian,29
5dd3699ee73e6136c640f1cf,male,Not Hispanic or Latino,White,43
5dd4632322749745ce9a9fa7,female,Not Hispanic or Latino,White,41
5c567e2acc53750001751cb0,male,Hispanic or Latino,Other,71
5d4613a2da9cb60001aa4948,female,Not Hispanic or Latino,White,35
5e7b84f8c67949191491786f,male,Not Hispanic or Latino,White,30
5e35e8f41faa2559da20a5b6,female,Not Hispanic or Latino,Asian,23
5e6d3e1aa2fab5000bd47a97,male,Not Hispanic or Latino,White,33
5da956c25a994b001650f1e3,female,Hispanic or Latino,White,25
5aa6c4a4b5e2110001c73f69,female,Hispanic or Latino,White,32
5e72318254cb2015a07ef417,female,Not Hispanic or Latino,White,30
5dcef1425e9119034948cd9e,female,Not Hispanic or Latino,White,73
5c91fc9c183fb70012f3510a,male,Not Hispanic or Latino,White,48
5d2ba2f01d8d93001ec26b9b,male,Not Hispanic or Latino,White,53
5e542832505b9f08adc26982,female,Not Hispanic or Latino,Asian,23
5d62886927a84f00010fbbb4,male,Not Hispanic or Latino,White,33
54847013fdf99b0379939c8a,female,Not Hispanic or Latino,White,37
5e05ab290db892fcd8036b1a,female,Not Hispanic or Latino,White,47
5a6c076fd5d4cb0001d65a17,female,Not Hispanic or Latino,White,49
5cf4bf2e7e2e1400177f2cc8,female,Not Hispanic or Latino,White,33
559e7713fdf99b7a9a12410b,male,Not Hispanic or Latino,White,64
593d38ef06c3b80001d673f8,female,Not Hispanic or Latino,White,34
5bec51ea73b744000158e6e3,male,Not Hispanic or Latino,White,52
5b5b715192d8320001510a11,male,Not Hispanic or Latino,White,45
5c926d2a0ae1ea00156f71a0,female,Not Hispanic or Latino,White,61
5e6bba5459a3bd17473d4d6a,male,Not Hispanic or Latino,Asian,36
5e782c5d99df853a6f1315f4,male,Hispanic or Latino,White,28
5d964976b8040b001761467c,female,Not Hispanic or Latino,White,35
5e1038bc6e4db674b3df4b76,female,Not Hispanic or Latino,White,26
5a0af6457ecfc50001be11da,female,Not Hispanic or Latino,White,41
5e0583957dd477fb29fae7dd,female,Not Hispanic or Latino,Multiracial,21
5cba9a8a214b1a0016ccf708,female,Not Hispanic or Latino,White,40
5bea65135b7ff700013c946c,female,Not Hispanic or Latino,White,49
5e83b43765a5720e30b71b37,male,Not Hispanic or Latino,White,19
5b090f7f69326800019aa798,male,Not Hispanic or Latino,Asian,20
5d4f1741f20feb00190b6201,female,Not Hispanic or Latino,White,70
5b7ca6161e35f0000172fa14,female,Not Hispanic or Latino,White,34
57b60487e5b60d0001083aea,male,Not Hispanic or Latino,White,35
5d391aa474651f0017882b6b,female,Not Hispanic or Latino,White,41
5c1b97f889f0350001726def,female,Not Hispanic or Latino,White,58
5b707a406f0ed10001bfb973,female,Not Hispanic or Latino,White,33
5c003b5c2c8cc1000138e25f,male,Not Hispanic or Latino,White,27
5dd385759b610437592be0dc,female,Not Hispanic or Latino,White,52
5e14d563c4e155ae93907ae1,male,Not Hispanic or Latino,White,45
5d3c660793eb2d00017880db,female,Not Hispanic or Latino,White,24
5dd5d38b7f1bbf591aeda610,male,Hispanic or Latino,Multiracial,31
5b984dd258ee9f00012fbfd2,female,Not Hispanic or Latino,White,36
5c32331c70d93a00012338fd,female,Not Hispanic or Latino,White,60
5e70040c22eae45d9f51a1d9,male,Not Hispanic or Latino,Multiracial,27
5e373f33a42bce6daa55ea65,female,Not Hispanic or Latino,White,66
5ad6d2543660ef00019b8ce9,female,Not Hispanic or Latino,White,32
5864884ca7f6480001ed9725,female,Not Hispanic or Latino,White,44
5d87e122e951a10001c3811a,female,Hispanic or Latino,Multiracial,62
5d8e79ccd0e8b9001846e8a8,female,Not Hispanic or Latino,White,34
5c83f1ed20b39a001440b6b1,male,Not Hispanic or Latino,White,24
5ac015efe1099600016a5d17,female,Not Hispanic or Latino,White,30
5d354c9f1c1e8a001e521262,male,Not Hispanic or Latino,White,41
5e68083669f4cf0c05439f94,female,Not Hispanic or Latino,Multiracial,23
5c3388fa01439b0001a0adfe,female,Not Hispanic or Latino,White,36
5e3ccffb5bd1dc0c819ff94e,female,Not Hispanic or Latino,White,39
5dd597c897405455982d1b0c,female,Not Hispanic or Latino,Asian,40
559b1e92fdf99b426abb6227,male,Not Hispanic or Latino,White,40
5dc19bcd4fbd08108de60b13,male,Hispanic or Latino,White,52
5df2f2ed4c81b2201c6c782e,female,Not Hispanic or Latino,White,70
5d924b1fc48e5f0017ad2579,male,Not Hispanic or Latino,White,35
5dd0b075c944d1174e6e3c5a,male,Not Hispanic or Latino,Black,41
5bf6fc936c445d0001aeba98,male,Not Hispanic or Latino,White,39
5acc2d21436f550001003111,male,Not Hispanic or Latino,Black,29
59c0a297c458e800017b5499,male,Not Hispanic or Latino,White,50
55d4bf9d58c358000c3dbde9,female,Not Hispanic or Latino,White,58
5dbf5fe16849043f135aa2c0,male,Not Hispanic or Latino,White,32
5dd61a909ca8a35c14d8d610,female,Not Hispanic or Latino,White,59
55b237e6fdf99b19ea79d2f7,female,Not Hispanic or Latino,White,51
559fa17cfdf99b69c369d364,male,Not Hispanic or Latino,White,48
5e83a8bafb06b00ed70c32e3,male,Not Hispanic or Latino,White,35
5e7a3d4ecbf3760137f77a5b,female,Hispanic or Latino,White,28
5e50b4a8e6ef3b1027fa3a5d,male,Hispanic or Latino,White,24
5d277c0e28429200011c4fda,female,Not Hispanic or Latino,White,35
5de7b990c22a307259c2a5d3,male,Not Hispanic or Latino,White,63
5da787068af00600118fe431,female,Not Hispanic or Latino,Black,53
5c31847f10677f0001ddc781,female,Not Hispanic or Latino,White,35
5cd393e40ced9200010b2e9c,male,Not Hispanic or Latino,White,26
5decaec426ff0236a1941cc4,female,Not Hispanic or Latino,White,43
55a28851fdf99b602e6b05dd,female,Not Hispanic or Latino,White,67
5dd00858fbb5730f732b7c2f,female,Not Hispanic or Latino,White,33
5dd340e3e25acf34bf91032e,male,Not Hispanic or Latino,White,55
558fe633fdf99b3f6868bf45,male,Not Hispanic or Latino,Asian,30
5b6f49b7d60bdd0001ade437,male,Not Hispanic or Latino,White,64
5e3d8d90de328d044e7c6ffb,male,Not Hispanic or Latino,White,33
5e4aedd76f4883000e48bfe4,male,Hispanic or Latino,Other,26
5aa637861eda41000136d5d2,male,Not Hispanic or Latino,Black,29
5c55fec09fcbc40001dc50b5,male,Not Hispanic or Latino,White,43
569298838d93fe000dfa033c,female,Not Hispanic or Latino,White,68
5dd6d370194e486498e13ab6,female,Not Hispanic or Latino,White,45
576b0cef7f3abb0001fe94f1,male,Not Hispanic or Latino,White,27
55d35a55da14d7000595331e,male,Not Hispanic or Latino,White,56
59acabcd8a929800014ad8db,male,Hispanic or Latino,White,47
5d9e363c25ceaa0012574295,female,Not Hispanic or Latino,White,27
5a83cc572a842c0001fcaf7c,male,Not Hispanic or Latino,White,57
5d620e2c81e64c001a580927,male,Not Hispanic or Latino,White,37
5e2a425609072a0abb76094b,male,Not Hispanic or Latino,White,34
5de59f97e448c65315ec4a37,female,Not Hispanic or Latino,White,37
5a91877e777df200015fa0f5,female,Not Hispanic or Latino,White,60
5df97cf6deea2b70989b6528,female,Not Hispanic or Latino,White,49
595b93be7882150001240e21,male,Not Hispanic or Latino,White,61
5cf308da81ea050017a6151e,male,Not Hispanic or Latino,Multiracial,27
5b7e118e87d85f0001baac27,female,Not Hispanic or Latino,White,64
598fba148380cc00012a3ce7,female,Not Hispanic or Latino,White,34
5ca6bbf13b5fcf00100996e9,male,Not Hispanic or Latino,White,54
5e433ee571d7421d7e44d259,female,Hispanic or Latino,White,25
