PROLIFIC_PID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9
5a725fb26923df0001efbdd5,1.0,1.0,2.0,2.0,43.0,23.0,1.0,2.0,5.0
5e45f4cbbc594a0dc5429501,2.0,1.0,2.0,1.0,47.0,35.0,2.0,2.0,5.0
5de7d7bccdff8e749abf25da,2.0,1.0,2.0,1.0,23.0,24.0,1.0,1.0,5.0
5e55edb704c4295fbe1a67bd,2.0,1.0,2.0,2.0,18.0,31.0,2.0,1.0,5.0
5be7d32d25507300010da343,2.0,1.0,2.0,2.0,14.0,70.0,2.0,2.0,5.0
5cfafb7a2aab1f001c01148a,2.0,1.0,4.0,1.0,25.0,23.0,1.0,2.0,5.0
5e7e46bfa10d910843e02743,2.0,1.0,2.0,3.0,32.0,26.0,1.0,2.0,5.0
5e261be0eb4755875c2f9a4f,2.0,1.0,2.0,3.0,5.0,19.0,2.0,2.0,2.0
5e58cfeeb542010d36f52748,2.0,1.0,2.0,3.0,3.0,19.0,2.0,2.0,2.0
5e434446c3444f1e6542bc70,2.0,1.0,2.0,3.0,21.0,29.0,1.0,2.0,2.0
5de58675c3bd2850ab72ce29,2.0,1.0,1.0,5.0,14.0,25.0,1.0,2.0,5.0
56c3072fc51218000c97bf1d,2.0,1.0,4.0,5.0,18.0,44.0,1.0,2.0,5.0
5dc11d8c718e6d09c1b92632,1.0,3.0,4.0,1.0,43.0,36.0,2.0,2.0,5.0
5d6f05f6d6cc190019007d8a,1.0,1.0,2.0,3.0,9.0,55.0,1.0,2.0,4.0
5c3277502c45d400014b6e98,1.0,4.0,2.0,2.0,32.0,31.0,2.0,3.0,5.0
5e7122b1264abb03216183b8,2.0,1.0,2.0,2.0,43.0,36.0,1.0,2.0,2.0
5e346c9e79b735000d4c90f6,1.0,1.0,2.0,4.0,39.0,38.0,1.0,2.0,5.0
5e37a77a0a653d730b7a749d,2.0,1.0,2.0,3.0,22.0,29.0,2.0,2.0,5.0
5966de578c50e50001a4e743,2.0,1.0,2.0,4.0,43.0,32.0,2.0,1.0,5.0
5e5c28cb35c0c541339c770a,2.0,1.0,1.0,5.0,5.0,32.0,2.0,2.0,5.0
5bc934c69427200001dd4ef2,2.0,1.0,3.0,4.0,13.0,63.0,2.0,2.0,5.0
5e5b044f52cf7730575d3dcd,1.0,1.0,2.0,1.0,38.0,36.0,1.0,2.0,5.0
5c71bdec87f8cd0001b458f5,2.0,1.0,2.0,1.0,28.0,23.0,2.0,1.0,7.0
59fb9324087f2e0001ead5d0,2.0,1.0,2.0,2.0,14.0,46.0,2.0,2.0,4.0
5e6bcaae09ee4f04bf41d1a2,2.0,1.0,2.0,2.0,5.0,29.0,1.0,2.0,5.0
5e6d77b443c84834a4a772f2,2.0,1.0,2.0,1.0,5.0,23.0,2.0,3.0,8.0
56f2a49ced0cf600069131cd,2.0,1.0,1.0,6.0,33.0,30.0,2.0,2.0,6.0
5a6b35d3d5d4cb0001d643d8,1.0,7.0,1.0,5.0,22.0,49.0,1.0,2.0,5.0
5c2d2d6cc8ebae0001a41397,2.0,1.0,3.0,2.0,32.0,47.0,1.0,2.0,4.0
5d1f71def861790016fafb83,2.0,1.0,1.0,6.0,43.0,41.0,2.0,1.0,5.0
5e5e9eefec44c51c155e9015,1.0,1.0,2.0,1.0,49.0,40.0,2.0,2.0,5.0
5e61c57dc5c7450c344f2e82,2.0,1.0,2.0,2.0,5.0,24.0,2.0,2.0,5.0
5c89870b9cef4f0001a1a295,2.0,1.0,3.0,4.0,5.0,26.0,1.0,2.0,4.0
5e721a260eb64f000ccf0851,1.0,1.0,2.0,4.0,23.0,35.0,1.0,2.0,5.0
5dfd1c9bacd5cea131f965d3,1.0,1.0,2.0,2.0,10.0,20.0,2.0,2.0,5.0
5dac11ae4f3f0100165adcbf,1.0,1.0,2.0,1.0,5.0,21.0,2.0,2.0,5.0
